,	sp 
buẩn	 b w ə4 n 
buẫn	 b w ə5 n 
buận	 b w ə6 n 
buốn	 b uəɜ n 
buồn	 b uə2 n 
buổn	 b uə4 n 
buỗn	 b uə5 n 
buộn	 b uə6 n 
buỳn	 b w i2 n 
buỵn	 b w i6 n 
buỷn	 b w i4 n 
buỹn	 b w i5 n 
buấng	 b w əɜ ŋ 
buầng	 b w ə2 ŋ 
buẩng	 b w ə4 ŋ 
buẫng	 b w ə5 ŋ 
buậng	 b w ə6 ŋ 
buống	 b uəɜ ŋ 
buồng	 b uə2 ŋ 
buổng	 b uə4 ŋ 
buỗng	 b uə5 ŋ 
buộng	 b uə6 ŋ 
buếnh	 b w eɜ ɲ 
buềnh	 b w e2 ɲ 
buểnh	 b w e4 ɲ 
buễnh	 b w e5 ɲ 
buệnh	 b w e6 ɲ 
buỳnh	 b w i2 ɲ 
buỵnh	 b w i6 ɲ 
buỷnh	 b w i4 ɲ 
buỹnh	 b w i5 ɲ 
buốp	 b uəɜ p 
buộp	 b uə6 p 
buỵp	 b w i6 p 
buất	 b w əɜ t̪ 
buật	 b w ə6 t̪ 
buốt	 b uəɜ t̪ 
buột	 b uə6 t̪ 
buỵt	 b w i6 t̪ 
buỳu	 b w i2 w 
buỵu	 b w i6 w 
buỷu	 b w i4 w 
buỹu	 b w i5 w 
buấy	 b w əɪɜ 
buầy	 b w əɪ2 
buẩy	 b w əɪ4 
buẫy	 b w əɪ5 
buậy	 b w əɪ6 
by	 b i 
bà	 b aː2 
bài	 b aː2 j 
bàm	 b aː2 m 
bàn	 b aː2 n 
bàng	 b aː2 ŋ 
bành	 b e2 ɲ 
bào	 b aː2 w 
bàu	 b a2 w 
bày	 b a2 j 
bá	 b aːɜ 
bác	 b aːɜ c 
bách	 b eɜ c 
bái	 b aːɜ j 
bám	 b aːɜ m 
bán	 b aːɜ n 
báng	 b aːɜ ŋ 
bánh	 b eɜ ɲ 
báo	 b aːɜ w 
báp	 b aːɜ p 
bát	 b aːɜ t̪ 
báu	 b aɜ w 
báy	 b aɜ j 
bâm	 b ə m 
bân	 b ə n 
bâng	 b ə ŋ 
bâu	 b ə1 w 
bây	 b əɪ 
bã	 b aː5 
bãi	 b aː5 j 
bãm	 b aː5 m 
bãn	 b aː5 n 
bãng	 b aː5 ŋ 
bãnh	 b e5 ɲ 
bão	 b aː5 w 
bãu	 b a5 w 
bãy	 b a5 j 
bè	 b ɛ2 
bèm	 b ɛ2 m 
bèn	 b ɛ2 n 
bèng	 b ɛ2 ŋ 
bèo	 b ɛ2 w 
bé	 b ɛɜ 
béc	 b ɛɜ c 
bém	 b ɛɜ m 
bén	 b ɛɜ n 
béng	 b ɛɜ ŋ 
béo	 b ɛɜ w 
bép	 b ɛɜ p 
bét	 b ɛɜ t̪ 
bê	 b e 
bêm	 b e m 
bên	 b e n 
bênh	 b e ɲ 
bêu	 b e1 w 
bì	 b i2 
bìa	 b iə2 
bìm	 b i2 m 
bìn	 b i2 n 
bình	 b i2 ɲ 
bìu	 b i2 w 
bí	 b iɜ 
bía	 b iəɜ 
bích	 b iɜ c 
bím	 b iɜ m 
bín	 b iɜ n 
bính	 b iɜ ɲ 
bíp	 b iɜ p 
bít	 b iɜ t̪ 
bíu	 b iɜ w 
bò	 b ɔ2 
bòi	 b ɔ2 j 
bòm	 b ɔ2 m 
bòn	 b ɔ2 n 
bòng	 b ɔ2 ŋ 
bó	 b ɔɜ 
bóc	 b ɔɜ k 
bói	 b ɔɜ j 
bóm	 b ɔɜ m 
bón	 b ɔɜ n 
bóng	 b ɔɜ ŋ 
bóp	 b ɔɜ p 
bót	 b ɔɜ t̪ 
bô	 b o 
bôi	 b o j 
bôm	 b o m 
bôn	 b o n 
bông	 b o ŋ 
bõ	 b ɔ5 
bõi	 b ɔ5 j 
bõm	 b ɔ5 m 
bõn	 b ɔ5 n 
bõng	 b ɔ5 ŋ 
bù	 b u2 
bùa	 b uə2 
bùi	 b u2 j 
bùm	 b u2 m 
bùn	 b u2 n 
bùng	 b u2 ŋ 
bú	 b uɜ 
búa	 b uəɜ 
búc	 b uɜ c 
búi	 b uɜ j 
búm	 b uɜ m 
bún	 b uɜ n 
búng	 b uɜ ŋ 
búp	 b uɜ p 
bút	 b uɜ t̪ 
bý	 b iɜ 
bĩ	 b i5 
bũ	 b u5 
bơ	 b əː 
bư	 b y 
bạ	 b aː6 
bả	 b aː4 
bẹ	 b ɛ6 
bẻ	 b ɛ4 
bẽ	 b ɛ5 
bế	 b eɜ 
bề	 b e2 
bể	 b e4 
bễ	 b e5 
bệ	 b e6 
bỉ	 b i4 
bị	 b i6 
bọ	 b ɔ6 
bỏ	 b ɔ4 
bố	 b oɜ 
bồ	 b o2 
bổ	 b o4 
bỗ	 b o5 
bộ	 b o6 
bớ	 b əːɜ 
bờ	 b əː2 
bở	 b əː4 
bỡ	 b əː5 
bợ	 b əː6 
bụ	 b u6 
bủ	 b u4 
bứ	 b yɜ 
bừ	 b y2 
bử	 b y4 
bữ	 b y5 
bự	 b y6 
bỳ	 b i2 
bỵ	 b i6 
bỷ	 b i4 
bỹ	 b i5 
bĩa	 b iə5 
bũa	 b uə5 
bưa	 b yə 
bỉa	 b iə4 
bịa	 b iə6 
bụa	 b uə6 
bủa	 b uə4 
bứa	 b yəɜ 
bừa	 b yə2 
bửa	 b yə4 
bữa	 b yə5 
bựa	 b yə6 
bạc	 b aː6 c 
bấc	 b əɜ c 
bậc	 b ə6 c 
bắc	 b aɜ c 
bặc	 b a6 c 
bẹc	 b ɛ6 c 
bọc	 b ɔ6 k 
bốc	 b oɜ k 
bộc	 b o6 k 
bục	 b u6 c 
bức	 b yɜ c 
bực	 b y6 c 
bạch	 b e6 c 
bếch	 b eɜ c 
bệch	 b e6 c 
bịch	 b i6 c 
bũi	 b u5 j 
bơi	 b əː j 
bưi	 b y j 
bại	 b aː6 j 
bải	 b aː4 j 
bọi	 b ɔ6 j 
bỏi	 b ɔ4 j 
bối	 b oɜ j 
bồi	 b o2 j 
bổi	 b o4 j 
bỗi	 b o5 j 
bội	 b o6 j 
bới	 b əːɜ j 
bời	 b əː2 j 
bởi	 b əː4 j 
bỡi	 b əː5 j 
bợi	 b əː6 j 
bụi	 b u6 j 
bủi	 b u4 j 
bứi	 b yɜ j 
bừi	 b y2 j 
bửi	 b y4 j 
bữi	 b y5 j 
bựi	 b y6 j 
băm	 b a m 
bĩm	 b i5 m 
bũm	 b u5 m 
bơm	 b əː m 
bưm	 b y m 
bạm	 b aː6 m 
bảm	 b aː4 m 
bấm	 b əɜ m 
bầm	 b ə2 m 
bẩm	 b ə4 m 
bẫm	 b ə5 m 
bậm	 b ə6 m 
bắm	 b aɜ m 
bằm	 b a2 m 
bẳm	 b a4 m 
bẵm	 b a5 m 
bặm	 b a6 m 
bẹm	 b ɛ6 m 
bẻm	 b ɛ4 m 
bẽm	 b ɛ5 m 
bếm	 b eɜ m 
bềm	 b e2 m 
bểm	 b e4 m 
bễm	 b e5 m 
bệm	 b e6 m 
bỉm	 b i4 m 
bịm	 b i6 m 
bọm	 b ɔ6 m 
bỏm	 b ɔ4 m 
bốm	 b oɜ m 
bồm	 b o2 m 
bổm	 b o4 m 
bỗm	 b o5 m 
bộm	 b o6 m 
bớm	 b əːɜ m 
bờm	 b əː2 m 
bởm	 b əː4 m 
bỡm	 b əː5 m 
bợm	 b əː6 m 
bụm	 b u6 m 
bủm	 b u4 m 
bứm	 b yɜ m 
bừm	 b y2 m 
bửm	 b y4 m 
bữm	 b y5 m 
bựm	 b y6 m 
băn	 b a n 
bĩn	 b i5 n 
bũn	 b u5 n 
bơn	 b əː n 
bưn	 b y n 
bạn	 b aː6 n 
bản	 b aː4 n 
bấn	 b əɜ n 
bần	 b ə2 n 
bẩn	 b ə4 n 
bẫn	 b ə5 n 
bận	 b ə6 n 
bắn	 b aɜ n 
bằn	 b a2 n 
bẳn	 b a4 n 
bẵn	 b a5 n 
bặn	 b a6 n 
bẹn	 b ɛ6 n 
bẻn	 b ɛ4 n 
bẽn	 b ɛ5 n 
bến	 b eɜ n 
bền	 b e2 n 
bển	 b e4 n 
bễn	 b e5 n 
bện	 b e6 n 
bỉn	 b i4 n 
bịn	 b i6 n 
bọn	 b ɔ6 n 
bỏn	 b ɔ4 n 
bốn	 b oɜ n 
bồn	 b o2 n 
bổn	 b o4 n 
bỗn	 b o5 n 
bộn	 b o6 n 
bớn	 b əːɜ n 
bờn	 b əː2 n 
bởn	 b əː4 n 
bỡn	 b əː5 n 
bợn	 b əː6 n 
bụn	 b u6 n 
bủn	 b u4 n 
bứn	 b yɜ n 
bừn	 b y2 n 
bửn	 b y4 n 
bữn	 b y5 n 
bựn	 b y6 n 
băng	 b a ŋ 
bũng	 b u5 ŋ 
bưng	 b y ŋ 
bạng	 b aː6 ŋ 
bảng	 b aː4 ŋ 
bấng	 b əɜ ŋ 
bầng	 b ə2 ŋ 
bẩng	 b ə4 ŋ 
bẫng	 b ə5 ŋ 
bậng	 b ə6 ŋ 
bắng	 b aɜ ŋ 
bằng	 b a2 ŋ 
bẳng	 b a4 ŋ 
bẵng	 b a5 ŋ 
bặng	 b a6 ŋ 
bẹng	 b ɛ6 ŋ 
bẻng	 b ɛ4 ŋ 
bẽng	 b ɛ5 ŋ 
bọng	 b ɔ6 ŋ 
bỏng	 b ɔ4 ŋ 
bống	 b oɜ ŋ 
bồng	 b o2 ŋ 
bổng	 b o4 ŋ 
bỗng	 b o5 ŋ 
bộng	 b o6 ŋ 
bụng	 b u6 ŋ 
bủng	 b u4 ŋ 
bứng	 b yɜ ŋ 
bừng	 b y2 ŋ 
bửng	 b y4 ŋ 
bững	 b y5 ŋ 
bựng	 b y6 ŋ 
bĩnh	 b i5 ɲ 
bạnh	 b e6 ɲ 
bảnh	 b e4 ɲ 
bếnh	 b eɜ ɲ 
bềnh	 b e2 ɲ 
bểnh	 b e4 ɲ 
bễnh	 b e5 ɲ 
bệnh	 b e6 ɲ 
bỉnh	 b i4 ɲ 
bịnh	 b i6 ɲ 
bạo	 b aː6 w 
bảo	 b aː4 w 
bẹo	 b ɛ6 w 
bẻo	 b ɛ4 w 
bẽo	 b ɛ5 w 
bạp	 b aː6 p 
bấp	 b əɜ p 
bập	 b ə6 p 
bắp	 b aɜ p 
bặp	 b a6 p 
bẹp	 b ɛ6 p 
bếp	 b eɜ p 
bệp	 b e6 p 
bịp	 b i6 p 
bọp	 b ɔ6 p 
bốp	 b oɜ p 
bộp	 b o6 p 
bớp	 b əːɜ p 
bợp	 b əː6 p 
bụp	 b u6 p 
bạt	 b aː6 t̪ 
bất	 b əɜ t̪ 
bật	 b ə6 t̪ 
bắt	 b aɜ t̪ 
bặt	 b a6 t̪ 
bẹt	 b ɛ6 t̪ 
bết	 b eɜ t̪ 
bệt	 b e6 t̪ 
bịt	 b i6 t̪ 
bọt	 b ɔ6 t̪ 
bốt	 b oɜ t̪ 
bột	 b o6 t̪ 
bớt	 b əːɜ t̪ 
bợt	 b əː6 t̪ 
bụt	 b u6 t̪ 
bứt	 b yɜ t̪ 
bựt	 b y6 t̪ 
bĩu	 b i5 w 
bưu	 b i w 
bạu	 b a6 w 
bảu	 b a4 w 
bấu	 b əɜ w 
bầu	 b ə2 w 
bẩu	 b ə4 w 
bẫu	 b ə5 w 
bậu	 b ə6 w 
bếu	 b eɜ w 
bều	 b e2 w 
bểu	 b e4 w 
bễu	 b e5 w 
bệu	 b e6 w 
bỉu	 b i4 w 
bịu	 b i6 w 
bứu	 b iɜ w 
bừu	 b i2 w 
bửu	 b i4 w 
bữu	 b i5 w 
bựu	 b i6 w 
bạy	 b a6 j 
bảy	 b a4 j 
bấy	 b əɪɜ 
bầy	 b əɪ2 
bẩy	 b əɪ4 
bẫy	 b əɪ5 
bậy	 b əɪ6 
bước	 b yəɜ c 
bược	 b yə6 c 
bươi	 b yə j 
bưới	 b yəɜ j 
bười	 b yə2 j 
bưởi	 b yə4 j 
bưỡi	 b yə5 j 
bượi	 b yə6 j 
bươm	 b yə m 
bướm	 b yəɜ m 
bườm	 b yə2 m 
bưởm	 b yə4 m 
bưỡm	 b yə5 m 
bượm	 b yə6 m 
bươn	 b yə n 
bướn	 b yəɜ n 
bườn	 b yə2 n 
bưởn	 b yə4 n 
bưỡn	 b yə5 n 
bượn	 b yə6 n 
bương	 b yə ŋ 
bướng	 b yəɜ ŋ 
bường	 b yə2 ŋ 
bưởng	 b yə4 ŋ 
bưỡng	 b yə5 ŋ 
bượng	 b yə6 ŋ 
bướp	 b yəɜ p 
bượp	 b yə6 p 
bướt	 b yəɜ t̪ 
bượt	 b yə6 t̪ 
bươu	 b yə w 
bướu	 b yəɜ w 
bườu	 b yə2 w 
bưởu	 b yə4 w 
bưỡu	 b yə5 w 
bượu	 b yə6 w 
ca	k aː 
cai	k aː j 
cam	k aː m 
can	k aː n 
cang	k aː ŋ 
canh	k e ɲ 
cao	k aː w 
cau	k a w 
cay	k a j 
cha	tʃ aː 
chai	tʃ aː j 
cham	tʃ aː m 
chan	tʃ aː n 
chang	tʃ aː ŋ 
chanh	tʃ e ɲ 
chao	tʃ aː w 
chau	tʃ a w 
chay	tʃ a j 
che	tʃ ɛ 
chem	tʃ ɛ m 
chen	tʃ ɛ n 
cheng	tʃ ɛ ŋ 
cheo	tʃ ɛ w 
chi	tʃ i 
chia	tʃ iə 
chim	tʃ i m 
chin	tʃ i n 
chinh	tʃ i ɲ 
chiu	tʃ i w 
chiêm	tʃ iɛ m 
chiên	tʃ iɛ n 
chiêng	tʃ iɛ ŋ 
chiêu	tʃ iɛ w 
chiếc	tʃ iɛɜ c 
chiệc	tʃ iɛ6 c 
chiếm	tʃ iɛɜ m 
chiềm	tʃ iɛ2 m 
chiểm	tʃ iɛ4 m 
chiễm	tʃ iɛ5 m 
chiệm	tʃ iɛ6 m 
chiến	tʃ iɛɜ n 
chiền	tʃ iɛ2 n 
chiển	tʃ iɛ4 n 
chiễn	tʃ iɛ5 n 
chiện	tʃ iɛ6 n 
chiếng	tʃ iɛɜ ŋ 
chiềng	tʃ iɛ2 ŋ 
chiểng	tʃ iɛ4 ŋ 
chiễng	tʃ iɛ5 ŋ 
chiệng	tʃ iɛ6 ŋ 
chiếp	tʃ iɛɜ p 
chiệp	tʃ iɛ6 p 
chiết	tʃ iɛɜ t̪ 
chiệt	tʃ iɛ6 t̪ 
chiếu	tʃ iɛɜ w 
chiều	tʃ iɛ2 w 
chiểu	tʃ iɛ4 w 
chiễu	tʃ iɛ5 w 
chiệu	tʃ iɛ6 w 
cho	tʃ ɔ 
choa	tʃ w aː 
choai	tʃ w aː j 
choam	tʃ w aː m 
choan	tʃ w aː n 
choang	tʃ w aː ŋ 
choanh	tʃ w e ɲ 
choao	tʃ w aː w 
choay	tʃ w a j 
choe	tʃ w ɛ 
choem	tʃ w ɛ m 
choen	tʃ w ɛ n 
choeo	tʃ w ɛ w 
choi	tʃ ɔ j 
chom	tʃ ɔ m 
chon	tʃ ɔ n 
chong	tʃ ɔ ŋ 
choong	tʃ ɔ ŋ 
choà	tʃ w aː2 
choài	tʃ w aː2 j 
choàm	tʃ w aː2 m 
choàn	tʃ w aː2 n 
choàng	tʃ w aː2 ŋ 
choành	tʃ w e2 ɲ 
choào	tʃ w aː2 w 
choày	tʃ w a2 j 
choá	tʃ w aːɜ 
choác	tʃ w aːɜ c 
choách	tʃ w eɜ c 
choái	tʃ w aːɜ j 
choám	tʃ w aːɜ m 
choán	tʃ w aːɜ n 
choáng	tʃ w aːɜ ŋ 
choánh	tʃ w eɜ ɲ 
choáo	tʃ w aːɜ w 
choáp	tʃ w aːɜ p 
choát	tʃ w aːɜ t̪ 
choáy	tʃ w aɜ j 
choã	tʃ w aː5 
choãi	tʃ w aː5 j 
choãm	tʃ w aː5 m 
choãn	tʃ w aː5 n 
choãng	tʃ w aː5 ŋ 
choãnh	tʃ w e5 ɲ 
choão	tʃ w aː5 w 
choãy	tʃ w a5 j 
choè	tʃ w ɛ2 
choèm	tʃ w ɛ2 m 
choèn	tʃ w ɛ2 n 
choèo	tʃ w ɛ2 w 
choé	tʃ w ɛɜ 
choém	tʃ w ɛɜ m 
choén	tʃ w ɛɜ n 
choéo	tʃ w ɛɜ w 
choét	tʃ w ɛɜ t̪ 
choòng	tʃ w ɔ2 ŋ 
choóc	tʃ w ɔɜ k 
choóng	tʃ w ɔɜ ŋ 
choõng	tʃ w ɔ5 ŋ 
choạ	tʃ w aː6 
choả	tʃ w aː4 
choẹ	tʃ w ɛ6 
choẻ	tʃ w ɛ4 
choẽ	tʃ w ɛ5 
choạc	tʃ w aː6 c 
choắc	tʃ w aɜ c 
choặc	tʃ w a6 c 
choọc	tʃ w ɔ6 k 
choạch	tʃ w e6 c 
choại	tʃ w aː6 j 
choải	tʃ w aː4 j 
choăm	tʃ w a m 
choạm	tʃ w aː6 m 
choảm	tʃ w aː4 m 
choắm	tʃ w aɜ m 
choằm	tʃ w a2 m 
choẳm	tʃ w a4 m 
choẵm	tʃ w a5 m 
choặm	tʃ w a6 m 
choẹm	tʃ w ɛ6 m 
choẻm	tʃ w ɛ4 m 
choẽm	tʃ w ɛ5 m 
choăn	tʃ w a n 
choạn	tʃ w aː6 n 
choản	tʃ w aː4 n 
choắn	tʃ w aɜ n 
choằn	tʃ w a2 n 
choẳn	tʃ w a4 n 
choẵn	tʃ w a5 n 
choặn	tʃ w a6 n 
choẹn	tʃ w ɛ6 n 
choẻn	tʃ w ɛ4 n 
choẽn	tʃ w ɛ5 n 
choăng	tʃ w a ŋ 
choạng	tʃ w aː6 ŋ 
choảng	tʃ w aː4 ŋ 
choắng	tʃ w aɜ ŋ 
choằng	tʃ w a2 ŋ 
choẳng	tʃ w a4 ŋ 
choẵng	tʃ w a5 ŋ 
choặng	tʃ w a6 ŋ 
choọng	tʃ w ɔ6 ŋ 
choỏng	tʃ w ɔ4 ŋ 
choạnh	tʃ w e6 ɲ 
choảnh	tʃ w e4 ɲ 
choạo	tʃ w aː6 w 
choảo	tʃ w aː4 w 
choẹo	tʃ w ɛ6 w 
choẻo	tʃ w ɛ4 w 
choẽo	tʃ w ɛ5 w 
choạp	tʃ w aː6 p 
choạt	tʃ w aː6 t̪ 
choắt	tʃ w aɜ t̪ 
choặt	tʃ w a6 t̪ 
choẹt	tʃ w ɛ6 t̪ 
